"Dist Code","Year","State Code","State Name","Dist Name","TOTAL CURRENT PRICES (Millions in Rs)"
"10","2007 (2004)","6","Madhya Pradesh","Narsinghpur","20730"
"10","2008 (2004)","6","Madhya Pradesh","Narsinghpur","25021"
"10","2009 (2004)","6","Madhya Pradesh","Narsinghpur","30246"
"10","2010 (2004)","6","Madhya Pradesh","Narsinghpur","35092"
"10","2011 (2004)","6","Madhya Pradesh","Narsinghpur","41126"
"10","2012 (2004)","6","Madhya Pradesh","Narsinghpur","48758"
"10","2013 (2004)","6","Madhya Pradesh","Narsinghpur","58500"
"11","2007 (2004)","6","Madhya Pradesh","Seoni / Shivani","21328"
"11","2008 (2004)","6","Madhya Pradesh","Seoni / Shivani","25790"
"11","2009 (2004)","6","Madhya Pradesh","Seoni / Shivani","29211"
"11","2010 (2004)","6","Madhya Pradesh","Seoni / Shivani","36168"
"11","2011 (2004)","6","Madhya Pradesh","Seoni / Shivani","42852"
"11","2012 (2004)","6","Madhya Pradesh","Seoni / Shivani","51830"
"11","2013 (2004)","6","Madhya Pradesh","Seoni / Shivani","62520"
"12","2007 (2004)","6","Madhya Pradesh","Mandla","15670"
"12","2008 (2004)","6","Madhya Pradesh","Mandla","19424"
"12","2009 (2004)","6","Madhya Pradesh","Mandla","21695"
"12","2010 (2004)","6","Madhya Pradesh","Mandla","27204"
"12","2011 (2004)","6","Madhya Pradesh","Mandla","33077"
"12","2012 (2004)","6","Madhya Pradesh","Mandla","40382"
"12","2013 (2004)","6","Madhya Pradesh","Mandla","49500"
"13","2007 (2004)","6","Madhya Pradesh","Sagar","46355"
"13","2008 (2004)","6","Madhya Pradesh","Sagar","55795"
"13","2009 (2004)","6","Madhya Pradesh","Sagar","63533"
"13","2010 (2004)","6","Madhya Pradesh","Sagar","73454"
"13","2011 (2004)","6","Madhya Pradesh","Sagar","87762"
"13","2012 (2004)","6","Madhya Pradesh","Sagar","102626"
"13","2013 (2004)","6","Madhya Pradesh","Sagar","119847"
"14","2007 (2004)","6","Madhya Pradesh","Damoh","19908"
"14","2008 (2004)","6","Madhya Pradesh","Damoh","23112"
"14","2009 (2004)","6","Madhya Pradesh","Damoh","26231"
"14","2010 (2004)","6","Madhya Pradesh","Damoh","30319"
"14","2011 (2004)","6","Madhya Pradesh","Damoh","34894"
"14","2012 (2004)","6","Madhya Pradesh","Damoh","40339"
"14","2013 (2004)","6","Madhya Pradesh","Damoh","47037"
"15","2007 (2004)","6","Madhya Pradesh","Tikamgarh","18179"
"15","2008 (2004)","6","Madhya Pradesh","Tikamgarh","21363"
"15","2009 (2004)","6","Madhya Pradesh","Tikamgarh","23949"
"15","2010 (2004)","6","Madhya Pradesh","Tikamgarh","28447"
"15","2011 (2004)","6","Madhya Pradesh","Tikamgarh","33628"
"15","2012 (2004)","6","Madhya Pradesh","Tikamgarh","40015"
"15","2013 (2004)","6","Madhya Pradesh","Tikamgarh","48138"
"16","2007 (2004)","6","Madhya Pradesh","Chhatarpur","24745"
"16","2008 (2004)","6","Madhya Pradesh","Chhatarpur","29812"
"16","2009 (2004)","6","Madhya Pradesh","Chhatarpur","33937"
"16","2010 (2004)","6","Madhya Pradesh","Chhatarpur","40626"
"16","2011 (2004)","6","Madhya Pradesh","Chhatarpur","47924"
"16","2012 (2004)","6","Madhya Pradesh","Chhatarpur","56715"
"16","2013 (2004)","6","Madhya Pradesh","Chhatarpur","66943"
"17","2007 (2004)","6","Madhya Pradesh","Panna","12632"
"17","2008 (2004)","6","Madhya Pradesh","Panna","14773"
"17","2009 (2004)","6","Madhya Pradesh","Panna","17379"
"17","2010 (2004)","6","Madhya Pradesh","Panna","20071"
"17","2011 (2004)","6","Madhya Pradesh","Panna","23127"
"17","2012 (2004)","6","Madhya Pradesh","Panna","26593"
"17","2013 (2004)","6","Madhya Pradesh","Panna","30685"
"18","2007 (2004)","6","Madhya Pradesh","Rewa","34730"
"18","2008 (2004)","6","Madhya Pradesh","Rewa","41871"
"18","2009 (2004)","6","Madhya Pradesh","Rewa","46799"
"18","2010 (2004)","6","Madhya Pradesh","Rewa","54719"
"18","2011 (2004)","6","Madhya Pradesh","Rewa","63781"
"18","2012 (2004)","6","Madhya Pradesh","Rewa","73350"
"18","2013 (2004)","6","Madhya Pradesh","Rewa","85315"
"19","2007 (2004)","6","Madhya Pradesh","Sidhi","15449"
"19","2008 (2004)","6","Madhya Pradesh","Sidhi","18952"
"19","2009 (2004)","6","Madhya Pradesh","Sidhi","21040"
"19","2010 (2004)","6","Madhya Pradesh","Sidhi","23954"
"19","2011 (2004)","6","Madhya Pradesh","Sidhi","26763"
"19","2012 (2004)","6","Madhya Pradesh","Sidhi","30372"
"19","2013 (2004)","6","Madhya Pradesh","Sidhi","34824"
"20","2007 (2004)","6","Madhya Pradesh","Satna","49519"
"20","2008 (2004)","6","Madhya Pradesh","Satna","60315"
"20","2009 (2004)","6","Madhya Pradesh","Satna","68309"
"20","2010 (2004)","6","Madhya Pradesh","Satna","77709"
"20","2011 (2004)","6","Madhya Pradesh","Satna","87807"
"20","2012 (2004)","6","Madhya Pradesh","Satna","100747"
"20","2013 (2004)","6","Madhya Pradesh","Satna","116309"
"21","2007 (2004)","6","Madhya Pradesh","Shahdol","16965"
"21","2008 (2004)","6","Madhya Pradesh","Shahdol","19449"
"21","2009 (2004)","6","Madhya Pradesh","Shahdol","21585"
"21","2010 (2004)","6","Madhya Pradesh","Shahdol","24155"
"21","2011 (2004)","6","Madhya Pradesh","Shahdol","26621"
"21","2012 (2004)","6","Madhya Pradesh","Shahdol","29559"
"21","2013 (2004)","6","Madhya Pradesh","Shahdol","33102"
"22","2007 (2004)","6","Madhya Pradesh","Gwalior","67269"
"22","2008 (2004)","6","Madhya Pradesh","Gwalior","83239"
"22","2009 (2004)","6","Madhya Pradesh","Gwalior","93739"
"22","2010 (2004)","6","Madhya Pradesh","Gwalior","109287"
"22","2011 (2004)","6","Madhya Pradesh","Gwalior","130121"
"22","2012 (2004)","6","Madhya Pradesh","Gwalior","152367"
"22","2013 (2004)","6","Madhya Pradesh","Gwalior","179353"
"23","2007 (2004)","6","Madhya Pradesh","Shivpuri","27964"
"23","2008 (2004)","6","Madhya Pradesh","Shivpuri","33532"
"23","2009 (2004)","6","Madhya Pradesh","Shivpuri","38809"
"23","2010 (2004)","6","Madhya Pradesh","Shivpuri","43260"
"23","2011 (2004)","6","Madhya Pradesh","Shivpuri","50850"
"23","2012 (2004)","6","Madhya Pradesh","Shivpuri","60881"
"23","2013 (2004)","6","Madhya Pradesh","Shivpuri","74479"
"24","2007 (2004)","6","Madhya Pradesh","Guna","17975"
"24","2008 (2004)","6","Madhya Pradesh","Guna","22850"
"24","2009 (2004)","6","Madhya Pradesh","Guna","29635"
"24","2010 (2004)","6","Madhya Pradesh","Guna","34672"
"24","2011 (2004)","6","Madhya Pradesh","Guna","41596"
"24","2012 (2004)","6","Madhya Pradesh","Guna","50304"
"24","2013 (2004)","6","Madhya Pradesh","Guna","62675"
"25","2007 (2004)","6","Madhya Pradesh","Datia","11377"
"25","2008 (2004)","6","Madhya Pradesh","Datia","13422"
"25","2009 (2004)","6","Madhya Pradesh","Datia","14808"
"25","2010 (2004)","6","Madhya Pradesh","Datia","17166"
"25","2011 (2004)","6","Madhya Pradesh","Datia","20068"
"25","2012 (2004)","6","Madhya Pradesh","Datia","23893"
"25","2013 (2004)","6","Madhya Pradesh","Datia","29199"
"26","2007 (2004)","6","Madhya Pradesh","Morena","41354"
"26","2008 (2004)","6","Madhya Pradesh","Morena","53231"
"26","2009 (2004)","6","Madhya Pradesh","Morena","59053"
"26","2010 (2004)","6","Madhya Pradesh","Morena","69536"
"26","2011 (2004)","6","Madhya Pradesh","Morena","87167"
"26","2012 (2004)","6","Madhya Pradesh","Morena","110097"
"26","2013 (2004)","6","Madhya Pradesh","Morena","144436"
"27","2007 (2004)","6","Madhya Pradesh","Bhind","28770"
"27","2008 (2004)","6","Madhya Pradesh","Bhind","35572"
"27","2009 (2004)","6","Madhya Pradesh","Bhind","40622"
"27","2010 (2004)","6","Madhya Pradesh","Bhind","46796"
"27","2011 (2004)","6","Madhya Pradesh","Bhind","55071"
"27","2012 (2004)","6","Madhya Pradesh","Bhind","66584"
"27","2013 (2004)","6","Madhya Pradesh","Bhind","84374"
"28","2007 (2004)","6","Madhya Pradesh","Indore","189185"
"28","2008 (2004)","6","Madhya Pradesh","Indore","234900"
"28","2009 (2004)","6","Madhya Pradesh","Indore","271946"
"28","2010 (2004)","6","Madhya Pradesh","Indore","314004"
"28","2011 (2004)","6","Madhya Pradesh","Indore","375240"
"28","2012 (2004)","6","Madhya Pradesh","Indore","438742"
"28","2013 (2004)","6","Madhya Pradesh","Indore","506440"
"29","2007 (2004)","6","Madhya Pradesh","Ratlam","38142"
"29","2008 (2004)","6","Madhya Pradesh","Ratlam","46474"
"29","2009 (2004)","6","Madhya Pradesh","Ratlam","52645"
"29","2010 (2004)","6","Madhya Pradesh","Ratlam","56159"
"29","2011 (2004)","6","Madhya Pradesh","Ratlam","66709"
"29","2012 (2004)","6","Madhya Pradesh","Ratlam","80887"
"29","2013 (2004)","6","Madhya Pradesh","Ratlam","100270"
"30","2007 (2004)","6","Madhya Pradesh","Ujjain","56786"
"30","2008 (2004)","6","Madhya Pradesh","Ujjain","68766"
"30","2009 (2004)","6","Madhya Pradesh","Ujjain","80643"
"30","2010 (2004)","6","Madhya Pradesh","Ujjain","88481"
"30","2011 (2004)","6","Madhya Pradesh","Ujjain","103386"
"30","2012 (2004)","6","Madhya Pradesh","Ujjain","125833"
"30","2013 (2004)","6","Madhya Pradesh","Ujjain","157009"
"31","2007 (2004)","6","Madhya Pradesh","Mandsaur","30985"
"31","2008 (2004)","6","Madhya Pradesh","Mandsaur","39026"
"31","2009 (2004)","6","Madhya Pradesh","Mandsaur","48717"
"31","2010 (2004)","6","Madhya Pradesh","Mandsaur","52065"
"31","2011 (2004)","6","Madhya Pradesh","Mandsaur","63724"
"31","2012 (2004)","6","Madhya Pradesh","Mandsaur","80365"
"31","2013 (2004)","6","Madhya Pradesh","Mandsaur","104460"
"32","2007 (2004)","6","Madhya Pradesh","Dewas","41346"
"32","2008 (2004)","6","Madhya Pradesh","Dewas","50546"
"32","2009 (2004)","6","Madhya Pradesh","Dewas","60282"
"32","2010 (2004)","6","Madhya Pradesh","Dewas","67673"
"32","2011 (2004)","6","Madhya Pradesh","Dewas","79249"
"32","2012 (2004)","6","Madhya Pradesh","Dewas","95821"
"32","2013 (2004)","6","Madhya Pradesh","Dewas","120250"
"33","2007 (2004)","6","Madhya Pradesh","Dhar","51389"
"33","2008 (2004)","6","Madhya Pradesh","Dhar","63335"
"33","2009 (2004)","6","Madhya Pradesh","Dhar","72486"
"33","2010 (2004)","6","Madhya Pradesh","Dhar","84245"
"33","2011 (2004)","6","Madhya Pradesh","Dhar","100119"
"33","2012 (2004)","6","Madhya Pradesh","Dhar","122641"
"33","2013 (2004)","6","Madhya Pradesh","Dhar","154430"
"34","2007 (2004)","6","Madhya Pradesh","Jhabua","9360"
"34","2008 (2004)","6","Madhya Pradesh","Jhabua","11281"
"34","2009 (2004)","6","Madhya Pradesh","Jhabua","12399"
"34","2010 (2004)","6","Madhya Pradesh","Jhabua","15349"
"34","2011 (2004)","6","Madhya Pradesh","Jhabua","18354"
"34","2012 (2004)","6","Madhya Pradesh","Jhabua","22204"
"34","2013 (2004)","6","Madhya Pradesh","Jhabua","27566"
"35","2007 (2004)","6","Madhya Pradesh","Khargone / West Nimar","34092"
"35","2008 (2004)","6","Madhya Pradesh","Khargone / West Nimar","42144"
"35","2009 (2004)","6","Madhya Pradesh","Khargone / West Nimar","50316"
"35","2010 (2004)","6","Madhya Pradesh","Khargone / West Nimar","58069"
"35","2011 (2004)","6","Madhya Pradesh","Khargone / West Nimar","70809"
"35","2012 (2004)","6","Madhya Pradesh","Khargone / West Nimar","88393"
"35","2013 (2004)","6","Madhya Pradesh","Khargone / West Nimar","114034"
"36","2007 (2004)","6","Madhya Pradesh","Khandwa / East Nimar","22661"
"36","2008 (2004)","6","Madhya Pradesh","Khandwa / East Nimar","26687"
"36","2009 (2004)","6","Madhya Pradesh","Khandwa / East Nimar","31143"
"36","2010 (2004)","6","Madhya Pradesh","Khandwa / East Nimar","35754"
"36","2011 (2004)","6","Madhya Pradesh","Khandwa / East Nimar","41618"
"36","2012 (2004)","6","Madhya Pradesh","Khandwa / East Nimar","49387"
"36","2013 (2004)","6","Madhya Pradesh","Khandwa / East Nimar","59804"
"37","2007 (2004)","6","Madhya Pradesh","Sehore","25864"
"37","2008 (2004)","6","Madhya Pradesh","Sehore","31300"
"37","2009 (2004)","6","Madhya Pradesh","Sehore","37571"
"37","2010 (2004)","6","Madhya Pradesh","Sehore","40993"
"37","2011 (2004)","6","Madhya Pradesh","Sehore","48767"
"37","2012 (2004)","6","Madhya Pradesh","Sehore","59877"
"37","2013 (2004)","6","Madhya Pradesh","Sehore","75520"
"38","2007 (2004)","6","Madhya Pradesh","Raisen","23811"
"38","2008 (2004)","6","Madhya Pradesh","Raisen","28532"
"38","2009 (2004)","6","Madhya Pradesh","Raisen","34245"
"38","2010 (2004)","6","Madhya Pradesh","Raisen","39703"
"38","2011 (2004)","6","Madhya Pradesh","Raisen","44126"
"38","2012 (2004)","6","Madhya Pradesh","Raisen","51442"
"38","2013 (2004)","6","Madhya Pradesh","Raisen","60136"
"39","2007 (2004)","6","Madhya Pradesh","Vidisha","24015"
"39","2008 (2004)","6","Madhya Pradesh","Vidisha","28822"
"39","2009 (2004)","6","Madhya Pradesh","Vidisha","33405"
"39","2010 (2004)","6","Madhya Pradesh","Vidisha","37974"
"39","2011 (2004)","6","Madhya Pradesh","Vidisha","44672"
"39","2012 (2004)","6","Madhya Pradesh","Vidisha","52692"
"39","2013 (2004)","6","Madhya Pradesh","Vidisha","62061"
"40","2007 (2004)","6","Madhya Pradesh","Betul","30572"
"40","2008 (2004)","6","Madhya Pradesh","Betul","37400"
"40","2009 (2004)","6","Madhya Pradesh","Betul","42643"
"40","2010 (2004)","6","Madhya Pradesh","Betul","51957"
"40","2011 (2004)","6","Madhya Pradesh","Betul","62170"
"40","2012 (2004)","6","Madhya Pradesh","Betul","75497"
"40","2013 (2004)","6","Madhya Pradesh","Betul","92574"
"41","2007 (2004)","6","Madhya Pradesh","Rajgarh","26599"
"41","2008 (2004)","6","Madhya Pradesh","Rajgarh","28501"
"41","2009 (2004)","6","Madhya Pradesh","Rajgarh","35508"
"41","2010 (2004)","6","Madhya Pradesh","Rajgarh","45850"
"41","2011 (2004)","6","Madhya Pradesh","Rajgarh","56146"
"41","2012 (2004)","6","Madhya Pradesh","Rajgarh","71200"
"41","2013 (2004)","6","Madhya Pradesh","Rajgarh","93077"
"42","2007 (2004)","6","Madhya Pradesh","Shajapur","30820"
"42","2008 (2004)","6","Madhya Pradesh","Shajapur","37587"
"42","2009 (2004)","6","Madhya Pradesh","Shajapur","45598"
"42","2010 (2004)","6","Madhya Pradesh","Shajapur","52658"
"42","2011 (2004)","6","Madhya Pradesh","Shajapur","63364"
"42","2012 (2004)","6","Madhya Pradesh","Shajapur","79611"
"42","2013 (2004)","6","Madhya Pradesh","Shajapur","104359"
"43","2007 (2004)","6","Madhya Pradesh","Hoshangabad","31084"
"43","2008 (2004)","6","Madhya Pradesh","Hoshangabad","37718"
"43","2009 (2004)","6","Madhya Pradesh","Hoshangabad","43958"
"43","2010 (2004)","6","Madhya Pradesh","Hoshangabad","51763"
"43","2011 (2004)","6","Madhya Pradesh","Hoshangabad","60327"
"43","2012 (2004)","6","Madhya Pradesh","Hoshangabad","70825"
"43","2013 (2004)","6","Madhya Pradesh","Hoshangabad","83938"
"44","2007 (2004)","1","Andhra Pradesh","Srikakulam","89556"
"44","2008 (2004)","1","Andhra Pradesh","Srikakulam","105155"
"44","2009 (2004)","1","Andhra Pradesh","Srikakulam","125519"
"44","2010 (2004)","1","Andhra Pradesh","Srikakulam","162253"
"44","2011 (2004)","1","Andhra Pradesh","Srikakulam","182284"
"44","2012 (2004)","1","Andhra Pradesh","Srikakulam","211812"
"44","2013 (2004)","1","Andhra Pradesh","Srikakulam","241731"
"45","2007 (2004)","1","Andhra Pradesh","Visakhapatnam","209969"
"45","2008 (2004)","1","Andhra Pradesh","Visakhapatnam","251129"
"45","2009 (2004)","1","Andhra Pradesh","Visakhapatnam","276013"
"45","2010 (2004)","1","Andhra Pradesh","Visakhapatnam","334991"
"45","2011 (2004)","1","Andhra Pradesh","Visakhapatnam","373318"
"45","2012 (2004)","1","Andhra Pradesh","Visakhapatnam","417091"
"45","2013 (2004)","1","Andhra Pradesh","Visakhapatnam","470435"
"46","2007 (2004)","1","Andhra Pradesh","East Godavari","211483"
"46","2008 (2004)","1","Andhra Pradesh","East Godavari","242899"
"46","2009 (2004)","1","Andhra Pradesh","East Godavari","267435"
"46","2010 (2004)","1","Andhra Pradesh","East Godavari","331011"
"46","2011 (2004)","1","Andhra Pradesh","East Godavari","366714"
"46","2012 (2004)","1","Andhra Pradesh","East Godavari","411395"
"46","2013 (2004)","1","Andhra Pradesh","East Godavari","457241"
"47","2007 (2004)","1","Andhra Pradesh","West Godavari","158614"
"47","2008 (2004)","1","Andhra Pradesh","West Godavari","183160"
"47","2009 (2004)","1","Andhra Pradesh","West Godavari","215598"
"47","2010 (2004)","1","Andhra Pradesh","West Godavari","268440"
"47","2011 (2004)","1","Andhra Pradesh","West Godavari","297431"
"47","2012 (2004)","1","Andhra Pradesh","West Godavari","336005"
"47","2013 (2004)","1","Andhra Pradesh","West Godavari","376007"
"48","2007 (2004)","1","Andhra Pradesh","Krishna","193282"
"48","2008 (2004)","1","Andhra Pradesh","Krishna","225729"
"48","2009 (2004)","1","Andhra Pradesh","Krishna","257246"
"48","2010 (2004)","1","Andhra Pradesh","Krishna","318792"
"48","2011 (2004)","1","Andhra Pradesh","Krishna","357439"
"48","2012 (2004)","1","Andhra Pradesh","Krishna","405547"
"48","2013 (2004)","1","Andhra Pradesh","Krishna","455118"
"49","2007 (2004)","1","Andhra Pradesh","Guntur","225104"
"49","2008 (2004)","1","Andhra Pradesh","Guntur","256833"
"49","2009 (2004)","1","Andhra Pradesh","Guntur","287257"
"49","2010 (2004)","1","Andhra Pradesh","Guntur","338276"
"49","2011 (2004)","1","Andhra Pradesh","Guntur","381520"
"49","2012 (2004)","1","Andhra Pradesh","Guntur","428352"
"49","2013 (2004)","1","Andhra Pradesh","Guntur","475640"
"50","2007 (2004)","1","Andhra Pradesh","S.P.S. Nellore","125428"
"50","2008 (2004)","1","Andhra Pradesh","S.P.S. Nellore","151361"
"50","2009 (2004)","1","Andhra Pradesh","S.P.S. Nellore","166933"
"50","2010 (2004)","1","Andhra Pradesh","S.P.S. Nellore","204431"
"50","2011 (2004)","1","Andhra Pradesh","S.P.S. Nellore","232951"
"50","2012 (2004)","1","Andhra Pradesh","S.P.S. Nellore","269993"
"50","2013 (2004)","1","Andhra Pradesh","S.P.S. Nellore","307792"
"51","2007 (2004)","1","Andhra Pradesh","Kurnool","141641"
"51","2008 (2004)","1","Andhra Pradesh","Kurnool","158798"
"51","2009 (2004)","1","Andhra Pradesh","Kurnool","174515"
"51","2010 (2004)","1","Andhra Pradesh","Kurnool","210350"
"51","2011 (2004)","1","Andhra Pradesh","Kurnool","231561"
"51","2012 (2004)","1","Andhra Pradesh","Kurnool","262616"
"51","2013 (2004)","1","Andhra Pradesh","Kurnool","291616"
"52","2007 (2004)","1","Andhra Pradesh","Ananthapur","129084"
"52","2008 (2004)","1","Andhra Pradesh","Ananthapur","150702"
"52","2009 (2004)","1","Andhra Pradesh","Ananthapur","181690"
"52","2010 (2004)","1","Andhra Pradesh","Ananthapur","216095"
"52","2011 (2004)","1","Andhra Pradesh","Ananthapur","245723"
"52","2012 (2004)","1","Andhra Pradesh","Ananthapur","286415"
"52","2013 (2004)","1","Andhra Pradesh","Ananthapur","336673"
"53","2007 (2004)","1","Andhra Pradesh","Kadapa YSR","98528"
"53","2008 (2004)","1","Andhra Pradesh","Kadapa YSR","114813"
"53","2009 (2004)","1","Andhra Pradesh","Kadapa YSR","141131"
"53","2010 (2004)","1","Andhra Pradesh","Kadapa YSR","179352"
"53","2011 (2004)","1","Andhra Pradesh","Kadapa YSR","200425"
"53","2012 (2004)","1","Andhra Pradesh","Kadapa YSR","230435"
"53","2013 (2004)","1","Andhra Pradesh","Kadapa YSR","259787"
"54","2007 (2004)","1","Andhra Pradesh","Chittoor","129611"
"54","2008 (2004)","1","Andhra Pradesh","Chittoor","149657"
"54","2009 (2004)","1","Andhra Pradesh","Chittoor","164985"
"54","2010 (2004)","1","Andhra Pradesh","Chittoor","206295"
"54","2011 (2004)","1","Andhra Pradesh","Chittoor","234461"
"54","2012 (2004)","1","Andhra Pradesh","Chittoor","262195"
"54","2013 (2004)","1","Andhra Pradesh","Chittoor","291421"
"55","2007 (2004)","20","Telangana","Hyderabad","528249"
"55","2008 (2004)","20","Telangana","Hyderabad","630695"
"55","2009 (2004)","20","Telangana","Hyderabad","678067"
"55","2010 (2004)","20","Telangana","Hyderabad","801597"
"55","2011 (2004)","20","Telangana","Hyderabad","940449"
"55","2012 (2004)","20","Telangana","Hyderabad","1022662"
"55","2013 (2004)","20","Telangana","Hyderabad","1172500"
"56","2007 (2004)","20","Telangana","Nizamabad","105474"
"56","2008 (2004)","20","Telangana","Nizamabad","124425"
"56","2009 (2004)","20","Telangana","Nizamabad","135865"
"56","2010 (2004)","20","Telangana","Nizamabad","180500"
"56","2011 (2004)","20","Telangana","Nizamabad","197787"
"56","2012 (2004)","20","Telangana","Nizamabad","227934"
"56","2013 (2004)","20","Telangana","Nizamabad","259323"
"57","2007 (2004)","20","Telangana","Medak","104742"
"57","2008 (2004)","20","Telangana","Medak","122119"
"57","2009 (2004)","20","Telangana","Medak","131847"
"57","2010 (2004)","20","Telangana","Medak","163667"
"57","2011 (2004)","20","Telangana","Medak","182425"
"57","2012 (2004)","20","Telangana","Medak","206470"
"57","2013 (2004)","20","Telangana","Medak","232969"
"58","2007 (2004)","20","Telangana","Mahabubnagar","111301"
"58","2008 (2004)","20","Telangana","Mahabubnagar","128200"
"58","2009 (2004)","20","Telangana","Mahabubnagar","146081"
"58","2010 (2004)","20","Telangana","Mahabubnagar","188321"
"58","2011 (2004)","20","Telangana","Mahabubnagar","210538"
"58","2012 (2004)","20","Telangana","Mahabubnagar","246800"
"58","2013 (2004)","20","Telangana","Mahabubnagar","288862"
"59","2007 (2004)","20","Telangana","Nalgonda","120388"
"59","2008 (2004)","20","Telangana","Nalgonda","142926"
"59","2009 (2004)","20","Telangana","Nalgonda","159312"
"59","2010 (2004)","20","Telangana","Nalgonda","197602"
"59","2011 (2004)","20","Telangana","Nalgonda","222824"
"59","2012 (2004)","20","Telangana","Nalgonda","257874"
"59","2013 (2004)","20","Telangana","Nalgonda","293105"
"60","2007 (2004)","20","Telangana","Warangal","138327"
"60","2008 (2004)","20","Telangana","Warangal","163655"
"60","2009 (2004)","20","Telangana","Warangal","178005"
"60","2010 (2004)","20","Telangana","Warangal","225390"
"60","2011 (2004)","20","Telangana","Warangal","255219"
"60","2012 (2004)","20","Telangana","Warangal","296376"
"60","2013 (2004)","20","Telangana","Warangal","340489"
"61","2007 (2004)","20","Telangana","Khammam","104652"
"61","2008 (2004)","20","Telangana","Khammam","119267"
"61","2009 (2004)","20","Telangana","Khammam","124674"
"61","2010 (2004)","20","Telangana","Khammam","148384"
"61","2011 (2004)","20","Telangana","Khammam","163366"
"61","2012 (2004)","20","Telangana","Khammam","186941"
