state,district,per_capita_income,period_start
Andhra Pradesh,Kurnool,58045.37,2023-01-01
Andhra Pradesh,Kurnool,57929.91,2023-02-01
Andhra Pradesh,Kurnool,58681.94,2023-03-01
Andhra Pradesh,Kurnool,57573.97,2023-04-01
Andhra Pradesh,Kurnool,58035.4,2023-05-01
Andhra Pradesh,Kurnool,57526.52,2023-06-01
Andhra Pradesh,Kurnool,56884.65,2023-07-01
Andhra Pradesh,Kurnool,58539.73,2023-08-01
Andhra Pradesh,Kurnool,57307.67,2023-09-01
Andhra Pradesh,Kurnool,58624.5,2023-10-01
Andhra Pradesh,Kurnool,58012.95,2023-11-01
Andhra Pradesh,Kurnool,60058.15,2023-12-01
Andhra Pradesh,Kurnool,58869.26,2024-01-01
Andhra Pradesh,Kurnool,60424.85,2024-02-01
Andhra Pradesh,Kurnool,60878.8,2024-03-01
Andhra Pradesh,Kurnool,60392.62,2024-04-01
Andhra Pradesh,Kurnool,60682.79,2024-05-01
Andhra Pradesh,Kurnool,60511.82,2024-06-01
Andhra Pradesh,Kurnool,58760.05,2024-07-01
Andhra Pradesh,Kurnool,59038.4,2024-08-01
Andhra Pradesh,Kurnool,58846.43,2024-09-01
Andhra Pradesh,Kurnool,60917.79,2024-10-01
Andhra Pradesh,Kurnool,59282.97,2024-11-01
Andhra Pradesh,Kurnool,61485.59,2024-12-01
Andhra Pradesh,Kurnool,60462.13,2025-01-01
Andhra Pradesh,Kurnool,61484.45,2025-02-01
Andhra Pradesh,Kurnool,61775.96,2025-03-01
Andhra Pradesh,Kurnool,61335.82,2025-04-01
Andhra Pradesh,Kurnool,62068.33,2025-05-01
Andhra Pradesh,Kurnool,60382.91,2025-06-01
Andhra Pradesh,Kurnool,60864.36,2025-07-01
Andhra Pradesh,Kurnool,61155.79,2025-08-01
Andhra Pradesh,Kurnool,61223.48,2025-09-01
Andhra Pradesh,Kurnool,60880.31,2025-10-01
Andhra Pradesh,Kurnool,61732.76,2025-11-01
Andhra Pradesh,Kurnool,63395.84,2025-12-01
Andhra Pradesh,Kurnool,62905.0,2026-01-01
Andhra Pradesh,Kurnool,63046.11,2026-02-01
Andhra Pradesh,Visakhapatnam,86439.98,2023-01-01
Andhra Pradesh,Visakhapatnam,86304.9,2023-02-01
Andhra Pradesh,Visakhapatnam,87192.82,2023-03-01
Andhra Pradesh,Visakhapatnam,87574.69,2023-04-01
Andhra Pradesh,Visakhapatnam,88042.62,2023-05-01
Andhra Pradesh,Visakhapatnam,87658.56,2023-06-01
Andhra Pradesh,Visakhapatnam,89449.72,2023-07-01
Andhra Pradesh,Visakhapatnam,89404.27,2023-08-01
Andhra Pradesh,Visakhapatnam,89450.06,2023-09-01
Andhra Pradesh,Visakhapatnam,90683.65,2023-10-01
Andhra Pradesh,Visakhapatnam,90590.9,2023-11-01
Andhra Pradesh,Visakhapatnam,89471.13,2023-12-01
Andhra Pradesh,Visakhapatnam,90494.93,2024-01-01
Andhra Pradesh,Visakhapatnam,89356.91,2024-02-01
Andhra Pradesh,Visakhapatnam,90318.09,2024-03-01
Andhra Pradesh,Visakhapatnam,89613.62,2024-04-01
Andhra Pradesh,Visakhapatnam,90965.5,2024-05-01
Andhra Pradesh,Visakhapatnam,91870.21,2024-06-01
Andhra Pradesh,Visakhapatnam,91311.65,2024-07-01
Andhra Pradesh,Visakhapatnam,92402.72,2024-08-01
Andhra Pradesh,Visakhapatnam,92946.75,2024-09-01
Andhra Pradesh,Visakhapatnam,92907.36,2024-10-01
Andhra Pradesh,Visakhapatnam,93879.32,2024-11-01
Andhra Pradesh,Visakhapatnam,92779.32,2024-12-01
Andhra Pradesh,Visakhapatnam,93108.51,2025-01-01
Andhra Pradesh,Visakhapatnam,93309.9,2025-02-01
Andhra Pradesh,Visakhapatnam,92889.44,2025-03-01
Andhra Pradesh,Visakhapatnam,92660.21,2025-04-01
Andhra Pradesh,Visakhapatnam,93574.15,2025-05-01
Andhra Pradesh,Visakhapatnam,94673.61,2025-06-01
Andhra Pradesh,Visakhapatnam,95408.17,2025-07-01
Andhra Pradesh,Visakhapatnam,95005.8,2025-08-01
Andhra Pradesh,Visakhapatnam,96656.44,2025-09-01
Andhra Pradesh,Visakhapatnam,95786.46,2025-10-01
Andhra Pradesh,Visakhapatnam,97120.83,2025-11-01
Andhra Pradesh,Visakhapatnam,96236.92,2025-12-01
Andhra Pradesh,Visakhapatnam,96213.15,2026-01-01
Andhra Pradesh,Visakhapatnam,95171.41,2026-02-01
Andhra Pradesh,West Godavari,75105.1,2023-01-01
Andhra Pradesh,West Godavari,75585.03,2023-02-01
Andhra Pradesh,West Godavari,76151.23,2023-03-01
Andhra Pradesh,West Godavari,76971.77,2023-04-01
Andhra Pradesh,West Godavari,77410.25,2023-05-01
Andhra Pradesh,West Godavari,77377.51,2023-06-01
Andhra Pradesh,West Godavari,77028.82,2023-07-01
Andhra Pradesh,West Godavari,76715.81,2023-08-01
Andhra Pradesh,West Godavari,77328.79,2023-09-01
Andhra Pradesh,West Godavari,77242.58,2023-10-01
Andhra Pradesh,West Godavari,77232.64,2023-11-01
Andhra Pradesh,West Godavari,77702.57,2023-12-01
Andhra Pradesh,West Godavari,77382.41,2024-01-01
Andhra Pradesh,West Godavari,79085.76,2024-02-01
Andhra Pradesh,West Godavari,79413.83,2024-03-01
Andhra Pradesh,West Godavari,79146.78,2024-04-01
Andhra Pradesh,West Godavari,80515.51,2024-05-01
Andhra Pradesh,West Godavari,79573.03,2024-06-01
Andhra Pradesh,West Godavari,80687.96,2024-07-01
Andhra Pradesh,West Godavari,79416.17,2024-08-01
Andhra Pradesh,West Godavari,79807.11,2024-09-01
Andhra Pradesh,West Godavari,79486.43,2024-10-01
Andhra Pradesh,West Godavari,79708.29,2024-11-01
Andhra Pradesh,West Godavari,80023.63,2024-12-01
Andhra Pradesh,West Godavari,80884.36,2025-01-01
Andhra Pradesh,West Godavari,81326.5,2025-02-01
Andhra Pradesh,West Godavari,82191.19,2025-03-01
Andhra Pradesh,West Godavari,82168.59,2025-04-01
Andhra Pradesh,West Godavari,82730.4,2025-05-01
Andhra Pradesh,West Godavari,82707.22,2025-06-01
Andhra Pradesh,West Godavari,82893.54,2025-07-01
Andhra Pradesh,West Godavari,83248.25,2025-08-01
Andhra Pradesh,West Godavari,82019.05,2025-09-01
Andhra Pradesh,West Godavari,82539.73,2025-10-01
Andhra Pradesh,West Godavari,82632.44,2025-11-01
Andhra Pradesh,West Godavari,82051.78,2025-12-01
Andhra Pradesh,West Godavari,83108.42,2026-01-01
Andhra Pradesh,West Godavari,84397.63,2026-02-01
Assam,Cachar,47348.29,2023-01-01
Assam,Cachar,47945.13,2023-02-01
Assam,Cachar,47920.11,2023-03-01
Assam,Cachar,47545.43,2023-04-01
Assam,Cachar,47785.08,2023-05-01
Assam,Cachar,47874.34,2023-06-01
Assam,Cachar,48371.52,2023-07-01
Assam,Cachar,48338.01,2023-08-01
Assam,Cachar,49225.34,2023-09-01
Assam,Cachar,49593.69,2023-10-01
Assam,Cachar,50271.13,2023-11-01
Assam,Cachar,50737.63,2023-12-01
Assam,Cachar,50589.16,2024-01-01
Assam,Cachar,51121.46,2024-02-01
Assam,Cachar,51039.47,2024-03-01
Assam,Cachar,50864.5,2024-04-01
Assam,Cachar,50754.29,2024-05-01
Assam,Cachar,50923.49,2024-06-01
Assam,Cachar,51152.11,2024-07-01
Assam,Cachar,51720.68,2024-08-01
Assam,Cachar,51988.11,2024-09-01
Assam,Cachar,52854.2,2024-10-01
Assam,Cachar,53314.76,2024-11-01
Assam,Cachar,53730.18,2024-12-01
Assam,Cachar,53943.82,2025-01-01
Assam,Cachar,53939.09,2025-02-01
Assam,Cachar,54037.31,2025-03-01
Assam,Cachar,54150.91,2025-04-01
Assam,Cachar,54437.17,2025-05-01
Assam,Cachar,54434.67,2025-06-01
Assam,Cachar,54549.78,2025-07-01
Assam,Cachar,55070.97,2025-08-01
Assam,Cachar,55411.74,2025-09-01
Assam,Cachar,56066.51,2025-10-01
Assam,Cachar,56908.71,2025-11-01
Assam,Cachar,57388.81,2025-12-01
Assam,Cachar,57638.96,2026-01-01
Assam,Cachar,57668.44,2026-02-01
Assam,Darrang,28815.82,2023-01-01
Assam,Darrang,28756.13,2023-02-01
Assam,Darrang,29844.74,2023-03-01
Assam,Darrang,29554.14,2023-04-01
Assam,Darrang,30301.96,2023-05-01
Assam,Darrang,29945.55,2023-06-01
Assam,Darrang,29822.52,2023-07-01
Assam,Darrang,30445.99,2023-08-01
Assam,Darrang,29720.98,2023-09-01
Assam,Darrang,29507.67,2023-10-01
Assam,Darrang,30497.17,2023-11-01
Assam,Darrang,30258.45,2023-12-01
Assam,Darrang,30352.84,2024-01-01
Assam,Darrang,31127.43,2024-02-01
Assam,Darrang,31210.64,2024-03-01
Assam,Darrang,31758.0,2024-04-01
Assam,Darrang,31889.11,2024-05-01
Assam,Darrang,31967.66,2024-06-01
Assam,Darrang,31971.71,2024-07-01
Assam,Darrang,31908.19,2024-08-01
Assam,Darrang,31784.93,2024-09-01
Assam,Darrang,31230.62,2024-10-01
Assam,Darrang,32268.67,2024-11-01
Assam,Darrang,31819.13,2024-12-01
Assam,Darrang,32339.42,2025-01-01
Assam,Darrang,32214.35,2025-02-01
Assam,Darrang,32759.33,2025-03-01
Assam,Darrang,32939.7,2025-04-01
Assam,Darrang,33678.79,2025-05-01
Assam,Darrang,33642.31,2025-06-01
Assam,Darrang,33363.22,2025-07-01
Assam,Darrang,33847.96,2025-08-01
Assam,Darrang,33778.12,2025-09-01
Assam,Darrang,34178.54,2025-10-01
Assam,Darrang,34031.01,2025-11-01
Assam,Darrang,34306.37,2025-12-01
Assam,Darrang,33623.57,2026-01-01
Assam,Darrang,34866.58,2026-02-01
Assam,Dibrugarh,109096.41,2023-01-01
Assam,Dibrugarh,109949.88,2023-02-01
Assam,Dibrugarh,112284.0,2023-03-01
Assam,Dibrugarh,111275.38,2023-04-01
Assam,Dibrugarh,112601.17,2023-05-01
Assam,Dibrugarh,112350.26,2023-06-01
Assam,Dibrugarh,111273.1,2023-07-01
Assam,Dibrugarh,112434.05,2023-08-01
Assam,Dibrugarh,113541.22,2023-09-01
Assam,Dibrugarh,113556.78,2023-10-01
Assam,Dibrugarh,114293.09,2023-11-01
Assam,Dibrugarh,115982.15,2023-12-01
Assam,Dibrugarh,117741.59,2024-01-01
Assam,Dibrugarh,117844.41,2024-02-01
Assam,Dibrugarh,118627.89,2024-03-01
Assam,Dibrugarh,119764.62,2024-04-01
Assam,Dibrugarh,119367.72,2024-05-01
Assam,Dibrugarh,119956.1,2024-06-01
Assam,Dibrugarh,119816.63,2024-07-01
Assam,Dibrugarh,119025.71,2024-08-01
Assam,Dibrugarh,118959.04,2024-09-01
Assam,Dibrugarh,120643.8,2024-10-01
Assam,Dibrugarh,122015.66,2024-11-01
Assam,Dibrugarh,122478.52,2024-12-01
Assam,Dibrugarh,124428.49,2025-01-01
Assam,Dibrugarh,125596.4,2025-02-01
Assam,Dibrugarh,126453.45,2025-03-01
Assam,Dibrugarh,125909.88,2025-04-01
Assam,Dibrugarh,127193.87,2025-05-01
Assam,Dibrugarh,126458.11,2025-06-01
Assam,Dibrugarh,127559.32,2025-07-01
Assam,Dibrugarh,126465.66,2025-08-01
Assam,Dibrugarh,127026.75,2025-09-01
Assam,Dibrugarh,128368.13,2025-10-01
Assam,Dibrugarh,130613.9,2025-11-01
Assam,Dibrugarh,131524.61,2025-12-01
Assam,Dibrugarh,133369.01,2026-01-01
Assam,Dibrugarh,134697.23,2026-02-01
Assam,Goalpara,28608.19,2023-01-01
Assam,Goalpara,28998.28,2023-02-01
Assam,Goalpara,28146.89,2023-03-01
Assam,Goalpara,28255.46,2023-04-01
Assam,Goalpara,28224.37,2023-05-01
Assam,Goalpara,28946.05,2023-06-01
Assam,Goalpara,28346.72,2023-07-01
Assam,Goalpara,28503.3,2023-08-01
Assam,Goalpara,28955.12,2023-09-01
Assam,Goalpara,29143.96,2023-10-01
Assam,Goalpara,29474.93,2023-11-01
Assam,Goalpara,29744.17,2023-12-01
Assam,Goalpara,30394.63,2024-01-01
Assam,Goalpara,30922.75,2024-02-01
Assam,Goalpara,30317.75,2024-03-01
Assam,Goalpara,30604.26,2024-04-01
Assam,Goalpara,29942.58,2024-05-01
Assam,Goalpara,30971.18,2024-06-01
Assam,Goalpara,30232.48,2024-07-01
Assam,Goalpara,30427.96,2024-08-01
Assam,Goalpara,30916.47,2024-09-01
Assam,Goalpara,31435.37,2024-10-01
Assam,Goalpara,31045.61,2024-11-01
Assam,Goalpara,32305.69,2024-12-01
Assam,Goalpara,32300.27,2025-01-01
Assam,Goalpara,32453.84,2025-02-01
Assam,Goalpara,32776.86,2025-03-01
Assam,Goalpara,32146.63,2025-04-01
Assam,Goalpara,32098.42,2025-05-01
Assam,Goalpara,32300.5,2025-06-01
Assam,Goalpara,32115.41,2025-07-01
Assam,Goalpara,32773.41,2025-08-01
Assam,Goalpara,33628.32,2025-09-01
Assam,Goalpara,33301.96,2025-10-01
Assam,Goalpara,33933.3,2025-11-01
Assam,Goalpara,33701.99,2025-12-01
Assam,Goalpara,33763.42,2026-01-01
Assam,Goalpara,35027.34,2026-02-01
Assam,Kamrup,47610.31,2023-01-01
Assam,Kamrup,47060.2,2023-02-01
Assam,Kamrup,47675.84,2023-03-01
Assam,Kamrup,49303.91,2023-04-01
Assam,Kamrup,48938.93,2023-05-01
Assam,Kamrup,49368.37,2023-06-01
Assam,Kamrup,50158.99,2023-07-01
Assam,Kamrup,50156.93,2023-08-01
Assam,Kamrup,50307.97,2023-09-01
Assam,Kamrup,50512.89,2023-10-01
Assam,Kamrup,51047.5,2023-11-01
Assam,Kamrup,50606.28,2023-12-01
Assam,Kamrup,51841.79,2024-01-01
Assam,Kamrup,51279.7,2024-02-01
Assam,Kamrup,52882.67,2024-03-01
Assam,Kamrup,52869.38,2024-04-01
Assam,Kamrup,53619.58,2024-05-01
Assam,Kamrup,54155.56,2024-06-01
Assam,Kamrup,54303.05,2024-07-01
Assam,Kamrup,55364.42,2024-08-01
Assam,Kamrup,54698.37,2024-09-01
Assam,Kamrup,54844.6,2024-10-01
Assam,Kamrup,54702.04,2024-11-01
Assam,Kamrup,55897.98,2024-12-01
Assam,Kamrup,55805.15,2025-01-01
Assam,Kamrup,56742.54,2025-02-01
Assam,Kamrup,57261.19,2025-03-01
Assam,Kamrup,57626.25,2025-04-01
Assam,Kamrup,58880.84,2025-05-01
Assam,Kamrup,58874.45,2025-06-01
Assam,Kamrup,59259.67,2025-07-01
Assam,Kamrup,59488.94,2025-08-01
Assam,Kamrup,60422.21,2025-09-01
Assam,Kamrup,59706.45,2025-10-01
Assam,Kamrup,59976.57,2025-11-01
Assam,Kamrup,60809.32,2025-12-01
Assam,Kamrup,60559.45,2026-01-01
Assam,Kamrup,61409.5,2026-02-01
Assam,Karbi Anglong,38728.59,2023-01-01
Assam,Karbi Anglong,38453.97,2023-02-01
Assam,Karbi Anglong,39127.95,2023-03-01
Assam,Karbi Anglong,38843.26,2023-04-01
Assam,Karbi Anglong,39609.73,2023-05-01
Assam,Karbi Anglong,39579.92,2023-06-01
Assam,Karbi Anglong,40277.46,2023-07-01
Assam,Karbi Anglong,40215.37,2023-08-01
Assam,Karbi Anglong,40560.51,2023-09-01
Assam,Karbi Anglong,40242.86,2023-10-01
Assam,Karbi Anglong,40103.99,2023-11-01
Assam,Karbi Anglong,39946.68,2023-12-01
Assam,Karbi Anglong,39827.26,2024-01-01
Assam,Karbi Anglong,40330.77,2024-02-01
Assam,Karbi Anglong,40556.9,2024-03-01
Assam,Karbi Anglong,40822.96,2024-04-01
Assam,Karbi Anglong,40878.91,2024-05-01
Assam,Karbi Anglong,41354.5,2024-06-01
Assam,Karbi Anglong,41780.65,2024-07-01
Assam,Karbi Anglong,41392.82,2024-08-01
Assam,Karbi Anglong,41523.54,2024-09-01
Assam,Karbi Anglong,41684.17,2024-10-01
Assam,Karbi Anglong,41748.45,2024-11-01
Assam,Karbi Anglong,41389.49,2024-12-01
Assam,Karbi Anglong,41348.46,2025-01-01
Assam,Karbi Anglong,41849.77,2025-02-01
Assam,Karbi Anglong,42011.03,2025-03-01
Assam,Karbi Anglong,41810.32,2025-04-01
Assam,Karbi Anglong,42383.45,2025-05-01
Assam,Karbi Anglong,42736.56,2025-06-01
Assam,Karbi Anglong,42890.07,2025-07-01
Assam,Karbi Anglong,43336.12,2025-08-01
Assam,Karbi Anglong,43426.27,2025-09-01
Assam,Karbi Anglong,43231.42,2025-10-01
Assam,Karbi Anglong,43382.66,2025-11-01
Assam,Karbi Anglong,43464.49,2025-12-01
Assam,Karbi Anglong,43294.93,2026-01-01
Assam,Karbi Anglong,43267.07,2026-02-01
Assam,Lakhimpur,26284.52,2023-01-01
Assam,Lakhimpur,26140.09,2023-02-01
Assam,Lakhimpur,25949.53,2023-03-01
Assam,Lakhimpur,26417.26,2023-04-01
Assam,Lakhimpur,26333.83,2023-05-01
Assam,Lakhimpur,26291.08,2023-06-01
Assam,Lakhimpur,26147.59,2023-07-01
Assam,Lakhimpur,26378.43,2023-08-01
Assam,Lakhimpur,26670.61,2023-09-01
Assam,Lakhimpur,27101.49,2023-10-01
Assam,Lakhimpur,27361.18,2023-11-01
Assam,Lakhimpur,27217.29,2023-12-01
Assam,Lakhimpur,27013.96,2024-01-01
Assam,Lakhimpur,27082.23,2024-02-01
Assam,Lakhimpur,27130.47,2024-03-01
Assam,Lakhimpur,27275.33,2024-04-01
Assam,Lakhimpur,26797.91,2024-05-01
Assam,Lakhimpur,27180.92,2024-06-01
Assam,Lakhimpur,27382.75,2024-07-01
Assam,Lakhimpur,27370.93,2024-08-01
Assam,Lakhimpur,27497.42,2024-09-01
Assam,Lakhimpur,28018.38,2024-10-01
Assam,Lakhimpur,28317.01,2024-11-01
Assam,Lakhimpur,28200.61,2024-12-01
Assam,Lakhimpur,28231.68,2025-01-01
Assam,Lakhimpur,27762.67,2025-02-01
Assam,Lakhimpur,28233.97,2025-03-01
Assam,Lakhimpur,27764.32,2025-04-01
Assam,Lakhimpur,28266.3,2025-05-01
Assam,Lakhimpur,27711.66,2025-06-01
Assam,Lakhimpur,27934.72,2025-07-01
Assam,Lakhimpur,28584.93,2025-08-01
Assam,Lakhimpur,28288.46,2025-09-01
Assam,Lakhimpur,29109.74,2025-10-01
Assam,Lakhimpur,28770.34,2025-11-01
Assam,Lakhimpur,29198.93,2025-12-01
Assam,Lakhimpur,29228.97,2026-01-01
Assam,Lakhimpur,28790.19,2026-02-01
Bihar,Bhagalpur,29575.48,2023-01-01
Bihar,Bhagalpur,29779.26,2023-02-01
Bihar,Bhagalpur,29748.96,2023-03-01
Bihar,Bhagalpur,29514.54,2023-04-01
Bihar,Bhagalpur,29849.81,2023-05-01
Bihar,Bhagalpur,30090.88,2023-06-01
Bihar,Bhagalpur,30110.91,2023-07-01
Bihar,Bhagalpur,30421.43,2023-08-01
Bihar,Bhagalpur,30860.32,2023-09-01
Bihar,Bhagalpur,30978.97,2023-10-01
Bihar,Bhagalpur,31136.76,2023-11-01
Bihar,Bhagalpur,31378.98,2023-12-01
Bihar,Bhagalpur,31384.8,2024-01-01
Bihar,Bhagalpur,31454.41,2024-02-01
Bihar,Bhagalpur,31338.05,2024-03-01
Bihar,Bhagalpur,31392.2,2024-04-01
Bihar,Bhagalpur,31301.71,2024-05-01
