state,district,period_start,festival,celebration_pct
Andhra Pradesh,Chittoor,2022-04-10,Rama Navami,0.7077
Andhra Pradesh,Chittoor,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.0908
Andhra Pradesh,Chittoor,2022-01-26,Republic Day,0.95
Andhra Pradesh,Chittoor,2022-04-02,Ugadi,0.7519
Andhra Pradesh,East Godavari,2022-04-14,Ambedkar Jayanti,0.75
Andhra Pradesh,East Godavari,2022-07-10,Bakr Id/Eid ul-Adha,0.0908
Andhra Pradesh,East Godavari,2022-10-26,Bhai Duj,0.6634
Andhra Pradesh,East Godavari,2022-05-16,Buddha Purnima/Vesak,0.08
Andhra Pradesh,East Godavari,2022-12-25,Christmas,0.0127
Andhra Pradesh,East Godavari,2022-12-24,Christmas Eve,0.0121
Andhra Pradesh,East Godavari,2022-10-24,Diwali/Deepavali,0.7961
Andhra Pradesh,East Godavari,2022-10-05,Dussehra,0.7519
Andhra Pradesh,East Godavari,2022-04-17,Easter Day,0.0121
Andhra Pradesh,East Godavari,2022-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,0.7961
Andhra Pradesh,East Godavari,2022-04-15,Good Friday,0.0127
Andhra Pradesh,East Godavari,2022-02-15,Hazarat Ali's Birthday,0.0574
Andhra Pradesh,East Godavari,2022-03-18,Holi,0.7519
Andhra Pradesh,East Godavari,2022-03-17,Holika Dahana,0.7077
Andhra Pradesh,East Godavari,2022-08-15,Independence Day,0.95
Andhra Pradesh,East Godavari,2022-04-29,Jamat Ul-Vida,0.0813
Andhra Pradesh,East Godavari,2022-08-19,Janmashtami,0.7519
Andhra Pradesh,East Godavari,2022-08-18,Janmashtami (Smarta),0.7519
Andhra Pradesh,East Godavari,2022-03-01,Maha Shivaratri/Shivaratri,0.7077
Andhra Pradesh,East Godavari,2022-10-02,Mahatma Gandhi Jayanti,0.95
Andhra Pradesh,East Godavari,2022-01-14,Makar Sankranti,0.7077
Andhra Pradesh,East Godavari,2022-10-09,Milad un-Nabi/Id-e-Milad,0.0813
Andhra Pradesh,East Godavari,2022-08-08,Muharram/Ashura,0.0765
Andhra Pradesh,East Godavari,2022-10-24,Naraka Chaturdasi,0.7784
Andhra Pradesh,East Godavari,2022-01-01,New Year's Day,0.65
Andhra Pradesh,East Godavari,2022-08-11,Raksha Bandhan (Rakhi),0.6634
Andhra Pradesh,East Godavari,2022-04-10,Rama Navami,0.7077
Andhra Pradesh,East Godavari,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.0908
Andhra Pradesh,East Godavari,2022-01-26,Republic Day,0.95
Andhra Pradesh,East Godavari,2022-04-02,Ugadi,0.7519
Andhra Pradesh,Guntur,2022-04-14,Ambedkar Jayanti,0.75
Andhra Pradesh,Guntur,2022-07-10,Bakr Id/Eid ul-Adha,0.0908
Andhra Pradesh,Guntur,2022-10-26,Bhai Duj,0.6634
Andhra Pradesh,Guntur,2022-05-16,Buddha Purnima/Vesak,0.08
Andhra Pradesh,Guntur,2022-12-25,Christmas,0.0127
Andhra Pradesh,Guntur,2022-12-24,Christmas Eve,0.0121
Andhra Pradesh,Guntur,2022-10-24,Diwali/Deepavali,0.7961
Andhra Pradesh,Guntur,2022-10-05,Dussehra,0.7519
Andhra Pradesh,Guntur,2022-04-17,Easter Day,0.0121
Andhra Pradesh,Guntur,2022-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,0.7961
Andhra Pradesh,Guntur,2022-04-15,Good Friday,0.0127
Andhra Pradesh,Guntur,2022-02-15,Hazarat Ali's Birthday,0.0574
Andhra Pradesh,Guntur,2022-03-18,Holi,0.7519
Andhra Pradesh,Guntur,2022-03-17,Holika Dahana,0.7077
Andhra Pradesh,Guntur,2022-08-15,Independence Day,0.95
Andhra Pradesh,Guntur,2022-04-29,Jamat Ul-Vida,0.0813
Andhra Pradesh,Guntur,2022-08-19,Janmashtami,0.7519
Andhra Pradesh,Guntur,2022-08-18,Janmashtami (Smarta),0.7519
Andhra Pradesh,Guntur,2022-03-01,Maha Shivaratri/Shivaratri,0.7077
Andhra Pradesh,Guntur,2022-10-02,Mahatma Gandhi Jayanti,0.95
Andhra Pradesh,Guntur,2022-01-14,Makar Sankranti,0.7077
Andhra Pradesh,Guntur,2022-10-09,Milad un-Nabi/Id-e-Milad,0.0813
Andhra Pradesh,Guntur,2022-08-08,Muharram/Ashura,0.0765
Andhra Pradesh,Guntur,2022-10-24,Naraka Chaturdasi,0.7784
Andhra Pradesh,Guntur,2022-01-01,New Year's Day,0.65
Andhra Pradesh,Guntur,2022-08-11,Raksha Bandhan (Rakhi),0.6634
Andhra Pradesh,Guntur,2022-04-10,Rama Navami,0.7077
Andhra Pradesh,Guntur,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.0908
Andhra Pradesh,Guntur,2022-01-26,Republic Day,0.95
Andhra Pradesh,Guntur,2022-04-02,Ugadi,0.7519
Andhra Pradesh,Krishna,2022-04-14,Ambedkar Jayanti,0.75
Andhra Pradesh,Krishna,2022-07-10,Bakr Id/Eid ul-Adha,0.0908
Andhra Pradesh,Krishna,2022-10-26,Bhai Duj,0.6634
Andhra Pradesh,Krishna,2022-05-16,Buddha Purnima/Vesak,0.08
Andhra Pradesh,Krishna,2022-12-25,Christmas,0.0127
Andhra Pradesh,Krishna,2022-12-24,Christmas Eve,0.0121
Andhra Pradesh,Krishna,2022-10-24,Diwali/Deepavali,0.7961
Andhra Pradesh,Krishna,2022-10-05,Dussehra,0.7519
Andhra Pradesh,Krishna,2022-04-17,Easter Day,0.0121
Andhra Pradesh,Krishna,2022-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,0.7961
Andhra Pradesh,Krishna,2022-04-15,Good Friday,0.0127
Andhra Pradesh,Krishna,2022-02-15,Hazarat Ali's Birthday,0.0574
Andhra Pradesh,Krishna,2022-03-18,Holi,0.7519
Andhra Pradesh,Krishna,2022-03-17,Holika Dahana,0.7077
Andhra Pradesh,Krishna,2022-08-15,Independence Day,0.95
Andhra Pradesh,Krishna,2022-04-29,Jamat Ul-Vida,0.0813
Andhra Pradesh,Krishna,2022-08-19,Janmashtami,0.7519
Andhra Pradesh,Krishna,2022-08-18,Janmashtami (Smarta),0.7519
Andhra Pradesh,Krishna,2022-03-01,Maha Shivaratri/Shivaratri,0.7077
Andhra Pradesh,Krishna,2022-10-02,Mahatma Gandhi Jayanti,0.95
Andhra Pradesh,Krishna,2022-01-14,Makar Sankranti,0.7077
Andhra Pradesh,Krishna,2022-10-09,Milad un-Nabi/Id-e-Milad,0.0813
Andhra Pradesh,Krishna,2022-08-08,Muharram/Ashura,0.0765
Andhra Pradesh,Krishna,2022-10-24,Naraka Chaturdasi,0.7784
Andhra Pradesh,Krishna,2022-01-01,New Year's Day,0.65
Andhra Pradesh,Krishna,2022-08-11,Raksha Bandhan (Rakhi),0.6634
Andhra Pradesh,Krishna,2022-04-10,Rama Navami,0.7077
Andhra Pradesh,Krishna,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.0908
Andhra Pradesh,Krishna,2022-01-26,Republic Day,0.95
Andhra Pradesh,Krishna,2022-04-02,Ugadi,0.7519
Andhra Pradesh,Kurnool,2022-04-14,Ambedkar Jayanti,0.75
Andhra Pradesh,Kurnool,2022-07-10,Bakr Id/Eid ul-Adha,0.0908
Andhra Pradesh,Kurnool,2022-10-26,Bhai Duj,0.6634
Andhra Pradesh,Kurnool,2022-05-16,Buddha Purnima/Vesak,0.08
Andhra Pradesh,Kurnool,2022-12-25,Christmas,0.0127
Andhra Pradesh,Kurnool,2022-12-24,Christmas Eve,0.0121
Andhra Pradesh,Kurnool,2022-10-24,Diwali/Deepavali,0.7961
Andhra Pradesh,Kurnool,2022-10-05,Dussehra,0.7519
Andhra Pradesh,Kurnool,2022-04-17,Easter Day,0.0121
Andhra Pradesh,Kurnool,2022-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,0.7961
Andhra Pradesh,Kurnool,2022-04-15,Good Friday,0.0127
Andhra Pradesh,Kurnool,2022-02-15,Hazarat Ali's Birthday,0.0574
Andhra Pradesh,Kurnool,2022-03-18,Holi,0.7519
Andhra Pradesh,Kurnool,2022-03-17,Holika Dahana,0.7077
Andhra Pradesh,Kurnool,2022-08-15,Independence Day,0.95
Andhra Pradesh,Kurnool,2022-04-29,Jamat Ul-Vida,0.0813
Andhra Pradesh,Kurnool,2022-08-19,Janmashtami,0.7519
Andhra Pradesh,Kurnool,2022-08-18,Janmashtami (Smarta),0.7519
Andhra Pradesh,Kurnool,2022-03-01,Maha Shivaratri/Shivaratri,0.7077
Andhra Pradesh,Kurnool,2022-10-02,Mahatma Gandhi Jayanti,0.95
Andhra Pradesh,Kurnool,2022-01-14,Makar Sankranti,0.7077
Andhra Pradesh,Kurnool,2022-10-09,Milad un-Nabi/Id-e-Milad,0.0813
Andhra Pradesh,Kurnool,2022-08-08,Muharram/Ashura,0.0765
Andhra Pradesh,Kurnool,2022-10-24,Naraka Chaturdasi,0.7784
Andhra Pradesh,Kurnool,2022-01-01,New Year's Day,0.65
Andhra Pradesh,Kurnool,2022-08-11,Raksha Bandhan (Rakhi),0.6634
Andhra Pradesh,Kurnool,2022-04-10,Rama Navami,0.7077
Andhra Pradesh,Kurnool,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.0908
Andhra Pradesh,Kurnool,2022-01-26,Republic Day,0.95
Andhra Pradesh,Kurnool,2022-04-02,Ugadi,0.7519
Andhra Pradesh,Visakhapatnam,2022-04-14,Ambedkar Jayanti,0.75
Andhra Pradesh,Visakhapatnam,2022-07-10,Bakr Id/Eid ul-Adha,0.0908
Andhra Pradesh,Visakhapatnam,2022-10-26,Bhai Duj,0.6634
Andhra Pradesh,Visakhapatnam,2022-05-16,Buddha Purnima/Vesak,0.08
Andhra Pradesh,Visakhapatnam,2022-12-25,Christmas,0.0127
Andhra Pradesh,Visakhapatnam,2022-12-24,Christmas Eve,0.0121
Andhra Pradesh,Visakhapatnam,2022-10-24,Diwali/Deepavali,0.7961
Andhra Pradesh,Visakhapatnam,2022-10-05,Dussehra,0.7519
Andhra Pradesh,Visakhapatnam,2022-04-17,Easter Day,0.0121
Andhra Pradesh,Visakhapatnam,2022-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,0.7961
Andhra Pradesh,Visakhapatnam,2022-04-15,Good Friday,0.0127
Andhra Pradesh,Visakhapatnam,2022-02-15,Hazarat Ali's Birthday,0.0574
Andhra Pradesh,Visakhapatnam,2022-03-18,Holi,0.7519
Andhra Pradesh,Visakhapatnam,2022-03-17,Holika Dahana,0.7077
Andhra Pradesh,Visakhapatnam,2022-08-15,Independence Day,0.95
Andhra Pradesh,Visakhapatnam,2022-04-29,Jamat Ul-Vida,0.0813
Andhra Pradesh,Visakhapatnam,2022-08-19,Janmashtami,0.7519
Andhra Pradesh,Visakhapatnam,2022-08-18,Janmashtami (Smarta),0.7519
Andhra Pradesh,Visakhapatnam,2022-03-01,Maha Shivaratri/Shivaratri,0.7077
Andhra Pradesh,Visakhapatnam,2022-10-02,Mahatma Gandhi Jayanti,0.95
Andhra Pradesh,Visakhapatnam,2022-01-14,Makar Sankranti,0.7077
Andhra Pradesh,Visakhapatnam,2022-10-09,Milad un-Nabi/Id-e-Milad,0.0813
Andhra Pradesh,Visakhapatnam,2022-08-08,Muharram/Ashura,0.0765
Andhra Pradesh,Visakhapatnam,2022-10-24,Naraka Chaturdasi,0.7784
Andhra Pradesh,Visakhapatnam,2022-01-01,New Year's Day,0.65
Andhra Pradesh,Visakhapatnam,2022-08-11,Raksha Bandhan (Rakhi),0.6634
Andhra Pradesh,Visakhapatnam,2022-04-10,Rama Navami,0.7077
Andhra Pradesh,Visakhapatnam,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.0908
Andhra Pradesh,Visakhapatnam,2022-01-26,Republic Day,0.95
Andhra Pradesh,Visakhapatnam,2022-04-02,Ugadi,0.7519
Andhra Pradesh,West Godavari,2022-04-14,Ambedkar Jayanti,0.75
Andhra Pradesh,West Godavari,2022-07-10,Bakr Id/Eid ul-Adha,0.0908
Andhra Pradesh,West Godavari,2022-10-26,Bhai Duj,0.6634
Andhra Pradesh,West Godavari,2022-05-16,Buddha Purnima/Vesak,0.08
Andhra Pradesh,West Godavari,2022-12-25,Christmas,0.0127
Andhra Pradesh,West Godavari,2022-12-24,Christmas Eve,0.0121
Andhra Pradesh,West Godavari,2022-10-24,Diwali/Deepavali,0.7961
Andhra Pradesh,West Godavari,2022-10-05,Dussehra,0.7519
Andhra Pradesh,West Godavari,2022-04-17,Easter Day,0.0121
Andhra Pradesh,West Godavari,2022-08-31,Ganesh Chaturthi/Vinayaka Chaturthi,0.7961
Andhra Pradesh,West Godavari,2022-04-15,Good Friday,0.0127
Andhra Pradesh,West Godavari,2022-02-15,Hazarat Ali's Birthday,0.0574
Andhra Pradesh,West Godavari,2022-03-18,Holi,0.7519
Andhra Pradesh,West Godavari,2022-03-17,Holika Dahana,0.7077
Andhra Pradesh,West Godavari,2022-08-15,Independence Day,0.95
Andhra Pradesh,West Godavari,2022-04-29,Jamat Ul-Vida,0.0813
Andhra Pradesh,West Godavari,2022-08-19,Janmashtami,0.7519
Andhra Pradesh,West Godavari,2022-08-18,Janmashtami (Smarta),0.7519
Andhra Pradesh,West Godavari,2022-03-01,Maha Shivaratri/Shivaratri,0.7077
Andhra Pradesh,West Godavari,2022-10-02,Mahatma Gandhi Jayanti,0.95
Andhra Pradesh,West Godavari,2022-01-14,Makar Sankranti,0.7077
Andhra Pradesh,West Godavari,2022-10-09,Milad un-Nabi/Id-e-Milad,0.0813
Andhra Pradesh,West Godavari,2022-08-08,Muharram/Ashura,0.0765
Andhra Pradesh,West Godavari,2022-10-24,Naraka Chaturdasi,0.7784
Andhra Pradesh,West Godavari,2022-01-01,New Year's Day,0.65
Andhra Pradesh,West Godavari,2022-08-11,Raksha Bandhan (Rakhi),0.6634
Andhra Pradesh,West Godavari,2022-04-10,Rama Navami,0.7077
Andhra Pradesh,West Godavari,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.0908
Andhra Pradesh,West Godavari,2022-01-26,Republic Day,0.95
Andhra Pradesh,West Godavari,2022-04-02,Ugadi,0.7519
Assam,Cachar,2022-04-14,Ambedkar Jayanti,0.75
Assam,Cachar,2022-07-10,Bakr Id/Eid ul-Adha,0.3251
Assam,Cachar,2022-10-26,Bhai Duj,0.461
Assam,Cachar,2022-05-09,Birthday of Ravindranath,0.6
Assam,Cachar,2022-05-16,Buddha Purnima/Vesak,0.0569
Assam,Cachar,2022-12-25,Christmas,0.0355
Assam,Cachar,2022-12-24,Christmas Eve,0.0337
Assam,Cachar,2022-10-24,Diwali/Deepavali,0.5532
Assam,Cachar,2022-03-18,Dolyatra,0.5225
Assam,Cachar,2022-10-05,Dussehra,0.5225
Assam,Cachar,2022-04-17,Easter Day,0.0337
Assam,Cachar,2022-10-01,First Day of Durga Puja Festivities,0.5225
Assam,Cachar,2022-04-15,Good Friday,0.0355
Assam,Cachar,2022-02-15,Hazarat Ali's Birthday,0.2053
Assam,Cachar,2022-03-18,Holi,0.5225
Assam,Cachar,2022-03-17,Holika Dahana,0.4918
Assam,Cachar,2022-08-15,Independence Day,0.95
Assam,Cachar,2022-04-29,Jamat Ul-Vida,0.2909
Assam,Cachar,2022-08-19,Janmashtami,0.5225
Assam,Cachar,2022-08-18,Janmashtami (Smarta),0.5225
Assam,Cachar,2022-10-03,Maha Ashtami,0.5225
Assam,Cachar,2022-10-04,Maha Navami,0.5225
Assam,Cachar,2022-10-02,Maha Saptami,0.5225
Assam,Cachar,2022-03-01,Maha Shivaratri/Shivaratri,0.4918
Assam,Cachar,2022-10-02,Mahatma Gandhi Jayanti,0.95
Assam,Cachar,2022-01-14,Makar Sankranti,0.4918
Assam,Cachar,2022-10-09,Milad un-Nabi/Id-e-Milad,0.2909
Assam,Cachar,2022-08-08,Muharram/Ashura,0.2738
Assam,Cachar,2022-01-01,New Year's Day,0.65
Assam,Cachar,2022-08-11,Raksha Bandhan (Rakhi),0.461
Assam,Cachar,2022-04-10,Rama Navami,0.4918
Assam,Cachar,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.3251
Assam,Cachar,2022-01-26,Republic Day,0.95
Assam,Cachar,2022-02-05,Vasant Panchami,0.3688
Assam,Darrang,2022-04-14,Ambedkar Jayanti,0.75
Assam,Darrang,2022-07-10,Bakr Id/Eid ul-Adha,0.3251
Assam,Darrang,2022-10-26,Bhai Duj,0.461
Assam,Darrang,2022-05-09,Birthday of Ravindranath,0.6
Assam,Darrang,2022-05-16,Buddha Purnima/Vesak,0.0569
Assam,Darrang,2022-12-25,Christmas,0.0355
Assam,Darrang,2022-12-24,Christmas Eve,0.0337
Assam,Darrang,2022-10-24,Diwali/Deepavali,0.5532
Assam,Darrang,2022-03-18,Dolyatra,0.5225
Assam,Darrang,2022-10-05,Dussehra,0.5225
Assam,Darrang,2022-04-17,Easter Day,0.0337
Assam,Darrang,2022-10-01,First Day of Durga Puja Festivities,0.5225
Assam,Darrang,2022-04-15,Good Friday,0.0355
Assam,Darrang,2022-02-15,Hazarat Ali's Birthday,0.2053
Assam,Darrang,2022-03-18,Holi,0.5225
Assam,Darrang,2022-03-17,Holika Dahana,0.4918
Assam,Darrang,2022-08-15,Independence Day,0.95
Assam,Darrang,2022-04-29,Jamat Ul-Vida,0.2909
Assam,Darrang,2022-08-19,Janmashtami,0.5225
Assam,Darrang,2022-08-18,Janmashtami (Smarta),0.5225
Assam,Darrang,2022-10-03,Maha Ashtami,0.5225
Assam,Darrang,2022-10-04,Maha Navami,0.5225
Assam,Darrang,2022-10-02,Maha Saptami,0.5225
Assam,Darrang,2022-03-01,Maha Shivaratri/Shivaratri,0.4918
Assam,Darrang,2022-10-02,Mahatma Gandhi Jayanti,0.95
Assam,Darrang,2022-01-14,Makar Sankranti,0.4918
Assam,Darrang,2022-10-09,Milad un-Nabi/Id-e-Milad,0.2909
Assam,Darrang,2022-08-08,Muharram/Ashura,0.2738
Assam,Darrang,2022-01-01,New Year's Day,0.65
Assam,Darrang,2022-08-11,Raksha Bandhan (Rakhi),0.461
Assam,Darrang,2022-04-10,Rama Navami,0.4918
Assam,Darrang,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.3251
Assam,Darrang,2022-01-26,Republic Day,0.95
Assam,Darrang,2022-02-05,Vasant Panchami,0.3688
Assam,Dibrugarh,2022-04-14,Ambedkar Jayanti,0.75
Assam,Dibrugarh,2022-07-10,Bakr Id/Eid ul-Adha,0.3251
Assam,Dibrugarh,2022-10-26,Bhai Duj,0.461
Assam,Dibrugarh,2022-05-09,Birthday of Ravindranath,0.6
Assam,Dibrugarh,2022-05-16,Buddha Purnima/Vesak,0.0569
Assam,Dibrugarh,2022-12-25,Christmas,0.0355
Assam,Dibrugarh,2022-12-24,Christmas Eve,0.0337
Assam,Dibrugarh,2022-10-24,Diwali/Deepavali,0.5532
Assam,Dibrugarh,2022-03-18,Dolyatra,0.5225
Assam,Dibrugarh,2022-10-05,Dussehra,0.5225
Assam,Dibrugarh,2022-04-17,Easter Day,0.0337
Assam,Dibrugarh,2022-10-01,First Day of Durga Puja Festivities,0.5225
Assam,Dibrugarh,2022-04-15,Good Friday,0.0355
Assam,Dibrugarh,2022-02-15,Hazarat Ali's Birthday,0.2053
Assam,Dibrugarh,2022-03-18,Holi,0.5225
Assam,Dibrugarh,2022-03-17,Holika Dahana,0.4918
Assam,Dibrugarh,2022-08-15,Independence Day,0.95
Assam,Dibrugarh,2022-04-29,Jamat Ul-Vida,0.2909
Assam,Dibrugarh,2022-08-19,Janmashtami,0.5225
Assam,Dibrugarh,2022-08-18,Janmashtami (Smarta),0.5225
Assam,Dibrugarh,2022-10-03,Maha Ashtami,0.5225
Assam,Dibrugarh,2022-10-04,Maha Navami,0.5225
Assam,Dibrugarh,2022-10-02,Maha Saptami,0.5225
Assam,Dibrugarh,2022-03-01,Maha Shivaratri/Shivaratri,0.4918
Assam,Dibrugarh,2022-10-02,Mahatma Gandhi Jayanti,0.95
Assam,Dibrugarh,2022-01-14,Makar Sankranti,0.4918
Assam,Dibrugarh,2022-10-09,Milad un-Nabi/Id-e-Milad,0.2909
Assam,Dibrugarh,2022-08-08,Muharram/Ashura,0.2738
Assam,Dibrugarh,2022-01-01,New Year's Day,0.65
Assam,Dibrugarh,2022-08-11,Raksha Bandhan (Rakhi),0.461
Assam,Dibrugarh,2022-04-10,Rama Navami,0.4918
Assam,Dibrugarh,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.3251
Assam,Dibrugarh,2022-01-26,Republic Day,0.95
Assam,Dibrugarh,2022-02-05,Vasant Panchami,0.3688
Assam,Goalpara,2022-04-14,Ambedkar Jayanti,0.75
Assam,Goalpara,2022-07-10,Bakr Id/Eid ul-Adha,0.3251
Assam,Goalpara,2022-10-26,Bhai Duj,0.461
Assam,Goalpara,2022-05-09,Birthday of Ravindranath,0.6
Assam,Goalpara,2022-05-16,Buddha Purnima/Vesak,0.0569
Assam,Goalpara,2022-12-25,Christmas,0.0355
Assam,Goalpara,2022-12-24,Christmas Eve,0.0337
Assam,Goalpara,2022-10-24,Diwali/Deepavali,0.5532
Assam,Goalpara,2022-03-18,Dolyatra,0.5225
Assam,Goalpara,2022-10-05,Dussehra,0.5225
Assam,Goalpara,2022-04-17,Easter Day,0.0337
Assam,Goalpara,2022-10-01,First Day of Durga Puja Festivities,0.5225
Assam,Goalpara,2022-04-15,Good Friday,0.0355
Assam,Goalpara,2022-02-15,Hazarat Ali's Birthday,0.2053
Assam,Goalpara,2022-03-18,Holi,0.5225
Assam,Goalpara,2022-03-17,Holika Dahana,0.4918
Assam,Goalpara,2022-08-15,Independence Day,0.95
Assam,Goalpara,2022-04-29,Jamat Ul-Vida,0.2909
Assam,Goalpara,2022-08-19,Janmashtami,0.5225
Assam,Goalpara,2022-08-18,Janmashtami (Smarta),0.5225
Assam,Goalpara,2022-10-03,Maha Ashtami,0.5225
Assam,Goalpara,2022-10-04,Maha Navami,0.5225
Assam,Goalpara,2022-10-02,Maha Saptami,0.5225
Assam,Goalpara,2022-03-01,Maha Shivaratri/Shivaratri,0.4918
Assam,Goalpara,2022-10-02,Mahatma Gandhi Jayanti,0.95
Assam,Goalpara,2022-01-14,Makar Sankranti,0.4918
Assam,Goalpara,2022-10-09,Milad un-Nabi/Id-e-Milad,0.2909
Assam,Goalpara,2022-08-08,Muharram/Ashura,0.2738
Assam,Goalpara,2022-01-01,New Year's Day,0.65
Assam,Goalpara,2022-08-11,Raksha Bandhan (Rakhi),0.461
Assam,Goalpara,2022-04-10,Rama Navami,0.4918
Assam,Goalpara,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.3251
Assam,Goalpara,2022-01-26,Republic Day,0.95
Assam,Goalpara,2022-02-05,Vasant Panchami,0.3688
Assam,Kamrup,2022-04-14,Ambedkar Jayanti,0.75
Assam,Kamrup,2022-07-10,Bakr Id/Eid ul-Adha,0.3251
Assam,Kamrup,2022-10-26,Bhai Duj,0.461
Assam,Kamrup,2022-05-09,Birthday of Ravindranath,0.6
Assam,Kamrup,2022-05-16,Buddha Purnima/Vesak,0.0569
Assam,Kamrup,2022-12-25,Christmas,0.0355
Assam,Kamrup,2022-12-24,Christmas Eve,0.0337
Assam,Kamrup,2022-10-24,Diwali/Deepavali,0.5532
Assam,Kamrup,2022-03-18,Dolyatra,0.5225
Assam,Kamrup,2022-10-05,Dussehra,0.5225
Assam,Kamrup,2022-04-17,Easter Day,0.0337
Assam,Kamrup,2022-10-01,First Day of Durga Puja Festivities,0.5225
Assam,Kamrup,2022-04-15,Good Friday,0.0355
Assam,Kamrup,2022-02-15,Hazarat Ali's Birthday,0.2053
Assam,Kamrup,2022-03-18,Holi,0.5225
Assam,Kamrup,2022-03-17,Holika Dahana,0.4918
Assam,Kamrup,2022-08-15,Independence Day,0.95
Assam,Kamrup,2022-04-29,Jamat Ul-Vida,0.2909
Assam,Kamrup,2022-08-19,Janmashtami,0.5225
Assam,Kamrup,2022-08-18,Janmashtami (Smarta),0.5225
Assam,Kamrup,2022-10-03,Maha Ashtami,0.5225
Assam,Kamrup,2022-10-04,Maha Navami,0.5225
Assam,Kamrup,2022-10-02,Maha Saptami,0.5225
Assam,Kamrup,2022-03-01,Maha Shivaratri/Shivaratri,0.4918
Assam,Kamrup,2022-10-02,Mahatma Gandhi Jayanti,0.95
Assam,Kamrup,2022-01-14,Makar Sankranti,0.4918
Assam,Kamrup,2022-10-09,Milad un-Nabi/Id-e-Milad,0.2909
Assam,Kamrup,2022-08-08,Muharram/Ashura,0.2738
Assam,Kamrup,2022-01-01,New Year's Day,0.65
Assam,Kamrup,2022-08-11,Raksha Bandhan (Rakhi),0.461
Assam,Kamrup,2022-04-10,Rama Navami,0.4918
Assam,Kamrup,2022-05-03,Ramzan Id/Eid-ul-Fitar,0.3251
Assam,Kamrup,2022-01-26,Republic Day,0.95
Assam,Kamrup,2022-02-05,Vasant Panchami,0.3688
Assam,Karbi Anglong,2022-04-14,Ambedkar Jayanti,0.75
Assam,Karbi Anglong,2022-07-10,Bakr Id/Eid ul-Adha,0.3251
Assam,Karbi Anglong,2022-10-26,Bhai Duj,0.461
Assam,Karbi Anglong,2022-05-09,Birthday of Ravindranath,0.6
Assam,Karbi Anglong,2022-05-16,Buddha Purnima/Vesak,0.0569
Assam,Karbi Anglong,2022-12-25,Christmas,0.0355
Assam,Karbi Anglong,2022-12-24,Christmas Eve,0.0337
Assam,Karbi Anglong,2022-10-24,Diwali/Deepavali,0.5532
Assam,Karbi Anglong,2022-03-18,Dolyatra,0.5225
Assam,Karbi Anglong,2022-10-05,Dussehra,0.5225
